Method,Accuracy,Precision,Recall
Attention MIL (Ensemble),0.5555555555555556,1.0,0.2
Mean Pooling + LogReg (C=0.001),0.5555555555555556,0.5555555555555556,1.0
Normalized + SVM,0.5555555555555556,0.6,0.6
Attention MIL (Single),0.5555555555555556,0.5714285714285714,0.8
Mean Pooling + Random Forest,0.4444444444444444,0.5,0.4
SMOTE + LogReg,0.4444444444444444,0.5,0.4
Mean Pooling + LogReg (C=0.01),0.3333333333333333,0.3333333333333333,0.2
Max Pooling + LogReg,0.5555555555555556,0.5555555555555556,1.0
Multi-feature + LogReg,0.4444444444444444,0.5,0.2
Mean Pooling + LogReg (C=0.1),0.2222222222222222,0.0,0.0
Mean Pooling + LogReg (C=1.0),0.2222222222222222,0.0,0.0
Gradient Boosting,0.3333333333333333,0.4,0.4
