method,val_auc,test_auc,test_acc,test_precision,test_recall
Attention MIL (Ensemble),0.6666666666666667,0.65,0.5555555555555556,1.0,0.2
Mean Pooling + LogReg (C=0.001),0.4,0.45,0.5555555555555556,0.5555555555555556,1.0
Normalized + SVM,0.16666666666666669,0.45,0.5555555555555556,0.6,0.6
Attention MIL (Single),0.5333333333333334,0.45,0.5555555555555556,0.5714285714285714,0.8
Mean Pooling + Random Forest,0.23333333333333336,0.42500000000000004,0.4444444444444444,0.5,0.4
SMOTE + LogReg,0.13333333333333336,0.4,0.4444444444444444,0.5,0.4
Mean Pooling + LogReg (C=0.01),0.2666666666666667,0.4,0.3333333333333333,0.3333333333333333,0.2
Max Pooling + LogReg,0.4,0.4,0.5555555555555556,0.5555555555555556,1.0
Multi-feature + LogReg,0.4,0.35000000000000003,0.4444444444444444,0.5,0.2
Mean Pooling + LogReg (C=0.1),0.13333333333333336,0.35,0.2222222222222222,0.0,0.0
Mean Pooling + LogReg (C=1.0),0.06666666666666668,0.25,0.2222222222222222,0.0,0.0
Gradient Boosting,0.13333333333333336,0.2,0.3333333333333333,0.4,0.4
