Method,Accuracy,Precision,Recall
Max Pooling + LogReg,0.6666666666666666,0.625,1.0
Mean Pooling + LogReg (C=0.001),0.5555555555555556,0.5555555555555556,1.0
Mean Pooling + LogReg (C=0.1),0.4444444444444444,0.5,0.4
Mean Pooling + LogReg (C=0.01),0.6666666666666666,0.6666666666666666,0.8
Attention MIL (Ensemble),0.6666666666666666,0.6666666666666666,0.8
Multi-feature + LogReg,0.4444444444444444,0.5,0.2
Mean Pooling + Random Forest,0.5555555555555556,0.6666666666666666,0.4
Gradient Boosting,0.4444444444444444,0.5,0.4
Attention MIL (Single),0.6666666666666666,0.625,1.0
Mean Pooling + LogReg (C=1.0),0.5555555555555556,0.6,0.6
SMOTE + LogReg,0.5555555555555556,0.6666666666666666,0.4
Normalized + SVM,0.4444444444444444,0.5,0.6
