method,val_auc,test_auc,test_acc,test_precision,test_recall
Max Pooling + LogReg,0.6666666666666667,0.8,0.6666666666666666,0.625,1.0
Mean Pooling + LogReg (C=0.001),0.8,0.65,0.5555555555555556,0.5555555555555556,1.0
Mean Pooling + LogReg (C=0.1),0.2,0.55,0.4444444444444444,0.5,0.4
Mean Pooling + LogReg (C=0.01),0.6,0.55,0.6666666666666666,0.6666666666666666,0.8
Attention MIL (Ensemble),0.8666666666666667,0.55,0.6666666666666666,0.6666666666666666,0.8
Multi-feature + LogReg,0.33333333333333337,0.55,0.4444444444444444,0.5,0.2
Mean Pooling + Random Forest,0.23333333333333336,0.55,0.5555555555555556,0.6666666666666666,0.4
Gradient Boosting,0.4,0.55,0.4444444444444444,0.5,0.4
Mean Pooling + LogReg (C=1.0),0.13333333333333336,0.5,0.5555555555555556,0.6,0.6
SMOTE + LogReg,0.33333333333333337,0.49999999999999994,0.5555555555555556,0.6666666666666666,0.4
Normalized + SVM,0.13333333333333336,0.45,0.4444444444444444,0.5,0.6
Attention MIL (Single),0.6000000000000001,0.45,0.6666666666666666,0.625,1.0
